Grupo,code,Nombre del CE,Cantidad docentes,Docentes con acceso,Cantidad estudiantes,Estudiantes con accesos
B9,10005,INSTITUTO NACIONAL SANTA RITA,3,0,63,0.00
B7,10013,COMPLEJO EDUCATIVO GENERAL FABIO MORÁN,11,0,629,0.00
B11,10021,CENTRO ESCOLAR CANTON SUNTECUMAT,1,0,38,0.00
B11,10026,CENTRO ESCOLAR ABELINA ARRIAZA,3,0,66,0.00
B11,10029,"CENTRO ESCOLAR CASERIO EL BOTADERO, CANTON EL ROBLE",1,0,37,0.00
B11,10031,COMPLEJO EDUCATIVO DOCTOR ARTURO ROMERO,25,0,1517,0.00
B11,10045,CENTRO ESCOLAR HACIENDA ZACAMIL,3,0,82,0.00
B9,10049,INSTITUTO NACIONAL SAN MIGUEL DE MERCEDES,2,0,46,0.00
B9,10051,CENTRO ESCOLAR RESIDENCIAL LA PRADERA II,4,0,400,0.00
B11,10053,INSTITUTO NACIONAL LUIS REYNALDO TOBAR,3,0,212,0.00
B11,10059,INSTITUTO NACIONAL CANTÓN CARA SUCIA,4,0,330,0.00
B8,10060,INSTITUTO NACIONAL LICENCIADO JOSÉ DANIEL CARÍAS,2,0,126,0.00
B11,10064,CENTRO ESCOLAR LOMAS DE ALARCON,6,6,247,1.00
B11,10066,CENTRO ESCOLAR CANTON RINCON GRANDE,4,0,90,0.00
B11,10067,CENTRO ESCOLAR CANTON SAN JUAN EL ESPINO,4,1,134,0.00
B11,10069,CENTRO ESCOLAR FRAY MARTIN DE PORRES,2,0,27,0.00
B11,10070,"CENTRO ESCOLAR CASERIO EL JICARO, CANTON ZUNCA",3,0,55,0.00
B11,10071,CENTRO ESCOLAR CANTON EL TORTUGUERO,1,0,76,0.00
B8,10073,INSTITUTO NACIONAL CORNELIO AZENÓN SIERRA,10,0,687,1.00
B11,10082,CENTRO ESCOLAR CANTON LA ESPERANZA,2,0,37,0.00
B11,10083,CENTRO ESCOLAR CANTON JOYA DEL PLATANAR,3,0,87,0.00
B11,10087,CENTRO ESCOLAR CANTON LOS TABLONES,3,0,55,0.00
B13,10088,INSTITUTO NACIONAL CANTON LAS PILAS,3,0,79,0.00
B7,10089,INSTITUTO NACIONAL DE COATEPEQUE,4,0,181,0.00
B11,10090,CENTRO ESCOLAR CANTON JOYA DE LOS APANTES,2,0,40,0.00
B8,10093,INSTITUTO NACIONAL DE SONZACATE,7,0,495,0.00
B11,10094,CENTRO ESCOLAR CANTON LA CEIBA ABAJO,2,0,47,0.00
